,ws,production,site_quality,correction_factor,extra_correction_factor,cost,cost_A,cost_B_min,cost_B_max,min_break_even_no_rym,max_break_even_no_rym,min_break_even_rym,max_break_even_rym
29,7.9,3492.8080850201604,1.3479721344992894,0.8308112,0.8308112,41.54056,41.54056,-8.308112000000001,8.308112000000001,33.232448,49.848672,40.0,60.0
30,8.0,3547.3526180837684,1.3690223923059945,0.8223912,0.8223912,41.11956,41.11956,-8.223911999999999,8.223911999999999,32.895648,49.343472,40.0,60.0
31,8.1,3600.84695020913,1.3896673482564506,0.8141332,0.8141332,40.70666,40.70666,-8.141331999999998,8.141331999999998,32.565328,48.847992,40.0,60.0
32,8.2,3653.284405406161,1.4099044258997373,0.8080192,0.8080192,40.400960000000005,40.400960000000005,-8.080191999999997,8.080191999999997,32.32076800000001,48.481152,40.0,60.0
33,8.3,3704.6590150147713,1.4297313217633234,0.8040538,0.8040538,40.202690000000004,40.202690000000004,-8.040537999999998,8.040537999999998,32.162152000000006,48.243228,40.0,60.0
34,8.4,3754.965449409183,1.4491459789958556,0.8001708000000001,0.8001708000000001,40.00854,40.00854,-8.001708,8.001708,32.006832,48.010248000000004,40.0,60.0
35,8.5,3804.1989632496698,1.4681465662382773,0.7963706,0.7963706,39.81853,39.81853,-7.963705999999998,7.963706000000002,31.854824000000004,47.782236000000005,40.0,60.0
36,8.6,3852.355352958242,1.486731461212508,0.7926538000000001,0.7926538000000001,39.632690000000004,39.632690000000004,-7.926538000000001,7.926538000000001,31.706152000000003,47.559228000000004,40.0,60.0
37,8.7,3899.430925071707,1.5048992385080064,0.79,0.7890201522983987,39.45100761491994,39.45100761491994,-7.890201522983986,7.890201522983986,31.56080609193595,47.341209137903924,39.95038745814677,59.92558118722015
38,8.8,3945.422474128707,1.5226486610477608,0.79,0.7854702677904479,39.2735133895224,39.2735133895224,-7.854702677904477,7.854702677904477,31.418810711617922,47.12821606742688,39.770646470402426,59.65596970560364
39,8.9,3990.3272687735966,1.5399786747253874,0.79,0.7820042650549226,39.10021325274613,39.10021325274613,-7.820042650549226,7.820042650549226,31.280170602196904,46.920255903295356,39.59515266100874,59.39272899151311
40,9.0,4034.143044805663,1.5568884057226307,0.79,0.778622318855474,38.9311159427737,38.9311159427737,-7.7862231885547395,7.786223188554736,31.14489275421896,46.71733913132844,39.42391487875818,59.13587231813726
